1000Hz,2000HZ,4000Hz,8000Hz
364.0,726.0,1452.0,2908.0
363.0,726.0,1452.0,2908.0
363.0,727.0,1454.0,2906.0
363.0,727.0,1446.0,2908.0
363.0,726.0,1449.0,2908.0
363.0,726.0,1455.0,2908.0
363.0,727.0,1454.0,2908.0
363.0,726.0,1453.0,2908.0
363.0,727.0,1453.0,2908.0
363.0,726.0,1463.0,2906.0
363.0,726.0,1453.0,2906.0
363.0,726.0,1453.0,2906.0
363.0,726.0,1460.0,2906.0
363.0,726.0,1445.0,2910.0
363.0,726.0,1452.0,2908.0
363.0,727.0,1453.0,2908.0
363.0,726.0,1453.0,2910.0
363.0,727.0,1449.0,2906.0
363.0,726.0,1457.0,2908.0
363.0,727.0,1452.0,2908.0
363.0,726.0,1454.0,2905.0
363.0,726.0,1454.0,2908.0
363.0,727.0,1442.0,2906.0
363.0,727.0,1453.0,2906.0
363.0,726.0,1453.0,2908.0
363.0,726.0,1453.0,2906.0
362.0,728.0,1449.0,2910.0
363.0,727.0,1458.0,2906.0
363.0,727.0,1454.0,2906.0
363.0,726.0,1451.0,2903.0
363.0,726.0,1454.0,2908.0
363.0,726.0,1453.0,2906.0
363.0,727.0,1452.0,2908.0
363.0,728.0,1459.0,2908.0
362.0,726.0,1453.0,2906.0
363.0,727.0,1450.0,2906.0
363.0,726.0,1460.0,2906.0
364.0,726.0,1457.0,2910.0
363.0,727.0,1455.0,2906.0
363.0,727.0,1453.0,2906.0
364.0,726.0,1449.0,2906.0
363.0,727.0,1454.0,2910.0
363.0,726.0,1460.0,2910.0
363.0,727.0,1453.0,2906.0
363.0,726.0,1452.0,2908.0
363.0,727.0,1445.0,2906.0
363.0,727.0,1450.0,2906.0
363.0,726.0,1454.0,2906.0
363.0,728.0,1460.0,2906.0
363.0,727.0,1458.0,2908.0
363.0,727.0,1452.0,2908.0
363.0,726.0,1452.0,2914.0
363.0,727.0,1452.0,2906.0
363.0,727.0,1460.0,2908.0
363.0,726.0,1458.0,2908.0
363.0,726.0,1452.0,2910.0
363.0,727.0,1454.0,2910.0
363.0,727.0,1454.0,2908.0
363.0,727.0,1451.0,2906.0
363.0,727.0,1451.0,2908.0
363.0,726.0,1453.0,2908.0
363.0,727.0,1460.0,2908.0
362.0,726.0,1453.0,2906.0
363.0,726.0,1453.0,2906.0
363.0,727.0,1453.0,2912.0
363.0,726.0,1450.0,2906.0
363.0,726.0,1453.0,2906.0
363.0,726.0,1458.0,2901.0
363.0,726.0,1452.0,2910.0
363.0,727.0,1451.0,2906.0
363.0,726.0,1455.0,2912.0
363.0,728.0,1448.0,2910.0
363.0,727.0,1449.0,2908.0
363.0,728.0,1454.0,2906.0
363.0,726.0,1457.0,2905.0
363.0,726.0,1453.0,2908.0
363.0,727.0,1455.0,2906.0
363.0,727.0,1451.0,2910.0
363.0,726.0,1454.0,2910.0
363.0,727.0,1453.0,2912.0
363.0,727.0,1454.0,2906.0
363.0,727.0,1454.0,2908.0
363.0,727.0,1454.0,2912.0
363.0,727.0,1453.0,2908.0
363.0,726.0,1454.0,2908.0
363.0,727.0,1454.0,2905.0
363.0,727.0,1454.0,2906.0
363.0,726.0,1453.0,2912.0
363.0,726.0,1450.0,2906.0
363.0,727.0,1453.0,2908.0
363.0,727.0,1456.0,2908.0
363.0,727.0,1451.0,2908.0
363.0,727.0,1453.0,2906.0
363.0,726.0,1454.0,2906.0
363.0,726.0,1452.0,2908.0
363.0,726.0,1453.0,2908.0
363.0,726.0,1453.0,2908.0
363.0,728.0,1453.0,2908.0
363.0,726.0,1454.0,2901.0
363.0,727.0,1454.0,2906.0
363.0,726.0,1451.0,2906.0
362.0,728.0,1454.0,2906.0
363.0,726.0,1453.0,2912.0
363.0,727.0,1453.0,2906.0
363.0,726.0,1454.0,2908.0
363.0,727.0,1455.0,2905.0
363.0,726.0,1453.0,2908.0
363.0,727.0,1454.0,2906.0
363.0,727.0,1453.0,2906.0
363.0,727.0,1453.0,2906.0
362.0,726.0,1453.0,2906.0
363.0,727.0,1456.0,2910.0
363.0,727.0,1453.0,2906.0
363.0,726.0,1454.0,2906.0
362.0,727.0,1454.0,2901.0
363.0,726.0,1454.0,2906.0
363.0,728.0,1453.0,2908.0
363.0,726.0,1454.0,2903.0
363.0,727.0,1453.0,2914.0
363.0,726.0,1454.0,2908.0
363.0,726.0,1453.0,2908.0
363.0,727.0,1454.0,2908.0
363.0,727.0,1453.0,2906.0
363.0,726.0,1452.0,2906.0
